discharge_no,discharge_E,start_frame,finish_frame,A_f,t_0_f,tau_f,C_f,A,t_0,tau,C,fit_first_success,fit_first_message,fit_first_n,fit_second_success,fit_second_message,fit_second_n,A_f_err,tau_f_err,A_err,tau_err
1,6660.0,64,67,73.31709762833708,64.0,2.651942237289853,51.5,58.30170778066946,65.0,1.4526329332664354,51.5,True,ok,3,True,ok,3,10.165919459830267,1.089370908957789,1.113765357457911,0.0649364603125448
2,6660.0,147,156,76.41818677975046,147.0,14.664767327597621,51.5,67.48823134403507,148.0,199.9999999999997,51.5,True,ok,3,True,ok,3,12.341671925390271,28.477862471982625,8.187080004859968,3773.807707507589
