discharge_no,discharge_E,start_frame,finish_frame,A_f,t_0_f,tau_f,C_f,A,t_0,tau,C,fit_first_success,fit_first_message,fit_first_n,fit_second_success,fit_second_message,fit_second_n,A_f_err,tau_f_err,A_err,tau_err
1,6660.0,64,68,152.7163370576795,64.0,2.6450088584604,55.0,132.86542330935356,65.0,1.0592801506807334,55.0,True,ok,3,True,ok,3,35.11004667629122,1.7988065995033062,1.1265434914483605,0.020913845005569316
2,6660.0,100,112,1677.783808100681,100.0,199.99999999999997,55.0,1925.9910837174837,101.0,13.833060619291029,55.0,True,ok,3,True,ok,3,522.653555343521,9690.725304586627,168.39395158371008,13.766942693088927
3,6660.0,146,157,1621.0126863145945,146.0,199.99999999965965,55.0,2439.6891830435247,147.0,5.634673473084404,55.0,True,ok,3,True,ok,3,1413.5124266729467,27126.34788615968,45.37274752507838,0.5353221759425074
4,6660.0,194,205,317.8688902821559,194.0,4.212044017460755,55.0,239.4366743628839,195.0,199.99999999999662,55.0,True,ok,3,True,ok,3,30.420040357128713,1.6337837899640668,43.94601344471563,5709.626435386519
