n_points,success,message,A,A_err,t_0,t_0_err,tau,tau_err,C,C_err,rss
2,True,ok,264.5000008385795,inf,195.0,0.0,155698825.25754523,inf,58.0,0.0,136886.48489610507
3,True,ok,288.0000016372789,inf,195.0,0.0,163007232.8389352,inf,58.0,0.0,164404.98204043572
4,True,ok,303.75000087056,32.3901998062411,195.0,0.0,450749682.6457802,6704886685098967.0,58.0,0.0,189030.11781498726
5,True,ok,305.60000055973813,23.027520010652314,195.0,0.0,858365740.5625908,8259646291147164.0,58.0,0.0,192248.19633717622
6,True,ok,296.0000040865298,38.765713091489296,195.0,0.0,155870465.89034662,594034141807034.8,58.0,0.0,176292.98325433925
7,True,ok,308.5041420362857,41.39824789956018,195.0,0.0,30.36306302917952,36.56597717804546,58.0,0.0,101813.72014230659
8,True,ok,324.4223235145754,47.287547641205585,195.0,0.0,15.244988468292851,9.413743047959645,58.0,0.0,65931.07607348342
9,True,ok,338.1835814311773,52.19374615541431,195.0,0.0,10.827440724824644,4.872241835094302,58.0,0.0,53174.576080787476
10,True,ok,349.51133199782515,55.921673872692764,195.0,0.0,8.786245654746981,3.2857869431121536,58.0,0.0,50470.92031686992
