start_frame,n_points,success,message,A,A_err,t_0,t_0_err,tau,tau_err,C,C_err,rss
146,2,True,ok,2809.0,inf,147.0,0.0,4.864105807394345,inf,58.0,0.0,1279842.5131216433
146,3,True,ok,2791.363942527696,49.27686810793304,147.0,0.0,5.5256067899385615,0.4903204055786988,58.0,0.0,2074840.3400474733
146,4,True,ok,2824.9140416345385,80.5324494039397,147.0,0.0,4.845175890473462,0.461626035350854,58.0,0.0,1282263.1583977693
146,5,True,ok,2887.101306460749,154.21669276356346,147.0,0.0,4.1212648006100805,0.5468589502928194,58.0,0.0,649539.236003987
146,6,True,ok,2934.723767908615,178.03261941103645,147.0,0.0,3.7457622784015734,0.4765546067261812,58.0,0.0,440022.5189907035
146,7,True,ok,2967.1240651153603,182.68226677445338,147.0,0.0,3.5441653091741836,0.41497346132711155,58.0,0.0,371269.70961778075
146,8,True,ok,2988.92278630414,180.0666471443051,147.0,0.0,3.427660661641708,0.37048807502675424,58.0,0.0,347669.89507197577
146,9,True,ok,3001.9163626084023,172.69829538199798,147.0,0.0,3.3650058196899444,0.3353397642003699,58.0,0.0,340281.16078418
146,10,True,ok,3013.30333427428,168.22835506922476,147.0,0.0,3.314028207525557,0.3135944206536742,58.0,0.0,337140.25007428596
146,11,True,ok,3021.454694261626,163.46020854080848,147.0,0.0,3.2795482991786087,0.2967747292323965,58.0,0.0,336521.2776490231
147,2,True,ok,2287.0,inf,148.0,0.0,6.679352298112509,inf,58.0,0.0,3248136.149132367
147,3,True,ok,2326.23115834866,114.8295811702832,148.0,0.0,4.59718573943838,0.9838915168167716,58.0,0.0,1096127.116813352
147,4,True,ok,2383.4034619695653,167.67906672436723,148.0,0.0,3.610433016195462,0.6991793437164594,58.0,0.0,397760.9716210077
147,5,True,ok,2422.049339953105,171.63137837183842,148.0,0.0,3.2340581089324014,0.5051038776051009,58.0,0.0,246802.10943633426
147,6,True,ok,2446.461609893346,164.7148368815096,148.0,0.0,3.0577138002022366,0.4028768060288565,58.0,0.0,206696.13326172507
147,7,True,ok,2462.1417364530657,155.84592411894587,148.0,0.0,2.9629269752686134,0.3432565464424629,58.0,0.0,194434.6951433706
147,8,True,ok,2470.6206742870786,145.35654777353926,148.0,0.0,2.917260625354739,0.3023449743730811,58.0,0.0,191013.95288676678
147,9,True,ok,2478.8915833958654,139.44153276004948,148.0,0.0,2.876160519008968,0.2786868596617855,58.0,0.0,189370.02195363387
147,10,True,ok,2484.8327080305376,134.22641732234808,148.0,0.0,2.8483624821508835,0.26169339535311675,58.0,0.0,189047.0089280985
148,2,True,ok,1969.0,inf,149.0,0.0,3.231889930893563,inf,58.0,0.0,292216.6767711168
148,3,True,ok,1995.9094181232165,97.35014804621301,149.0,0.0,2.639002392568103,0.38024665808592495,58.0,0.0,68152.61527436177
148,4,True,ok,2012.6788545031354,86.05708673696796,149.0,0.0,2.464421033394304,0.2401384676783784,58.0,0.0,39450.70641122454
148,5,True,ok,2022.437066137757,76.47214345045704,149.0,0.0,2.3914876172073805,0.1809959710973109,58.0,0.0,33281.55125818899
148,6,True,ok,2028.5402852748746,69.3826442834716,149.0,0.0,2.353547467444101,0.15044538568988924,58.0,0.0,31481.07881883505
