Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.613688E+00 2.140062E+00 0.000000E+00 0.000000E+00 5.887680E-02 5.876992E-02 5.887680E-02 5.885664E-02 5.887680E-02 7.808064E-02 5.887680E-02 5.884928E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.003794E+00 2.380728E+00 0.000000E+00 0.000000E+00 4.242432E-02 4.234720E-02 4.242368E-02 4.241248E-02 4.242400E-02 5.040384E-02 4.242368E-02 4.240064E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.569850E+00 2.045391E+00 0.000000E+00 0.000000E+00 4.204608E-02 4.197408E-02 4.204544E-02 4.203424E-02 4.204576E-02 5.477952E-02 4.204608E-02 4.200544E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.652708E+00 2.121186E+00 0.000000E+00 0.000000E+00 4.054400E-02 4.047264E-02 4.054400E-02 4.053408E-02 4.054336E-02 5.203520E-02 4.054368E-02 4.052672E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.220601E+00 2.574544E+00 0.000000E+00 0.000000E+00 4.233728E-02 4.226624E-02 4.233760E-02 4.232800E-02 4.233760E-02 4.908416E-02 4.233728E-02 4.231744E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.409764E+00 1.785540E+00 0.000000E+00 0.000000E+00 4.256416E-02 4.249472E-02 4.256416E-02 4.254944E-02 4.256416E-02 5.390912E-02 4.256416E-02 4.252288E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.831727E+00 2.301780E+00 0.000000E+00 0.000000E+00 4.040352E-02 4.035200E-02 4.040352E-02 4.038848E-02 4.040352E-02 5.076992E-02 4.040352E-02 4.038624E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.758278E+00 2.273852E+00 0.000000E+00 0.000000E+00 4.265888E-02 4.260480E-02 4.265888E-02 4.264960E-02 4.265888E-02 5.516480E-02 4.265888E-02 4.264192E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.990192E+00 2.505019E+00 0.000000E+00 0.000000E+00 4.271392E-02 4.264832E-02 4.271424E-02 4.270720E-02 4.271424E-02 5.376192E-02 4.271392E-02 4.269728E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.715419E+00 2.208663E+00 0.000000E+00 0.000000E+00 4.255904E-02 4.250528E-02 4.255936E-02 4.254976E-02 4.255968E-02 5.479616E-02 4.255904E-02 4.252192E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.906288E+00 2.574523E+00 0.000000E+00 0.000000E+00 4.039584E-02 4.035360E-02 4.039616E-02 4.038496E-02 4.039584E-02 5.455616E-02 4.039616E-02 4.038336E-02
