Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.633381E+00 2.063814E+00 0.000000E+00 0.000000E+00 6.735104E-02 6.723872E-02 6.735072E-02 6.733184E-02 6.735104E-02 8.509760E-02 6.735072E-02 6.729600E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.880250E+00 2.379883E+00 0.000000E+00 0.000000E+00 4.201920E-02 4.195456E-02 4.201952E-02 4.200992E-02 4.201888E-02 5.318336E-02 4.201952E-02 4.200224E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.529052E+00 2.175713E+00 0.000000E+00 0.000000E+00 3.401184E-02 3.396608E-02 3.401184E-02 3.400416E-02 3.401184E-02 4.839424E-02 3.401184E-02 3.399808E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.862548E+00 2.406438E+00 0.000000E+00 0.000000E+00 4.778848E-02 4.772384E-02 4.778816E-02 4.777408E-02 4.778848E-02 6.174208E-02 4.778848E-02 4.776768E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.439760E+00 1.847508E+00 0.000000E+00 0.000000E+00 4.167776E-02 4.161120E-02 4.167776E-02 4.166784E-02 4.167776E-02 5.348032E-02 4.167776E-02 4.166080E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.730719E+00 2.174848E+00 0.000000E+00 0.000000E+00 4.276160E-02 4.269536E-02 4.276160E-02 4.275200E-02 4.276160E-02 5.373248E-02 4.276160E-02 4.274400E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.858565E+00 2.610949E+00 0.000000E+00 0.000000E+00 4.251328E-02 4.245920E-02 4.251328E-02 4.250592E-02 4.251328E-02 5.972160E-02 4.251328E-02 4.249568E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.587858E+00 2.227539E+00 0.000000E+00 0.000000E+00 4.219904E-02 4.215328E-02 4.219936E-02 4.218976E-02 4.219904E-02 5.919744E-02 4.219904E-02 4.216192E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.777701E+00 2.320667E+00 0.000000E+00 0.000000E+00 4.050560E-02 4.044992E-02 4.050560E-02 4.049152E-02 4.050560E-02 5.287616E-02 4.050560E-02 4.049216E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.105923E+00 2.578812E+00 0.000000E+00 0.000000E+00 4.226816E-02 4.222304E-02 4.226752E-02 4.226112E-02 4.226752E-02 5.175616E-02 4.226880E-02 4.225472E-02
