Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.752216E+00 2.277697E+00 0.000000E+00 0.000000E+00 5.136768E-02 5.126912E-02 5.136736E-02 5.135328E-02 5.136768E-02 6.677184E-02 5.136768E-02 5.134336E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.029939E+00 2.609649E+00 0.000000E+00 0.000000E+00 5.517984E-02 5.508384E-02 5.517984E-02 5.516288E-02 5.517984E-02 7.093760E-02 5.517984E-02 5.515168E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.972959E+00 2.519280E+00 0.000000E+00 0.000000E+00 4.207488E-02 4.200128E-02 4.207552E-02 4.205440E-02 4.207552E-02 5.372544E-02 4.207488E-02 4.203872E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.768774E+00 2.358157E+00 0.000000E+00 0.000000E+00 5.427968E-02 5.419424E-02 5.427968E-02 5.426752E-02 5.427968E-02 7.236480E-02 5.427968E-02 5.425504E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.594225E+00 2.133591E+00 0.000000E+00 0.000000E+00 4.077632E-02 4.071264E-02 4.077632E-02 4.076672E-02 4.077632E-02 5.457088E-02 4.077632E-02 4.075840E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.687750E+00 2.115566E+00 0.000000E+00 0.000000E+00 4.206912E-02 4.200544E-02 4.206912E-02 4.205952E-02 4.206912E-02 5.273088E-02 4.206912E-02 4.203168E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.776995E+00 2.440259E+00 0.000000E+00 0.000000E+00 4.220896E-02 4.215296E-02 4.220960E-02 4.219520E-02 4.220864E-02 5.796096E-02 4.220960E-02 4.219264E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.433001E+00 1.738264E+00 0.000000E+00 0.000000E+00 4.257184E-02 4.251776E-02 4.257184E-02 4.256448E-02 4.257120E-02 5.163776E-02 4.257184E-02 4.255488E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.713165E+00 2.229210E+00 0.000000E+00 0.000000E+00 4.261600E-02 4.255520E-02 4.261600E-02 4.260608E-02 4.261600E-02 5.545088E-02 4.261600E-02 4.259840E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.729766E+00 2.132136E+00 0.000000E+00 0.000000E+00 4.221088E-02 4.216544E-02 4.221120E-02 4.219936E-02 4.221120E-02 5.202880E-02 4.221088E-02 4.217344E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.795393E+00 2.314867E+00 0.000000E+00 0.000000E+00 4.233504E-02 4.228864E-02 4.233504E-02 4.232480E-02 4.233504E-02 5.458176E-02 4.233504E-02 4.232096E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.507644E+00 1.878183E+00 0.000000E+00 0.000000E+00 4.046464E-02 4.040896E-02 4.046464E-02 4.045760E-02 4.046464E-02 5.040704E-02 4.046464E-02 4.044736E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.651679E+00 2.123395E+00 0.000000E+00 0.000000E+00 4.238496E-02 4.233600E-02 4.238496E-02 4.237728E-02 4.238496E-02 5.448960E-02 4.238496E-02 4.237152E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.641182E+00 2.140639E+00 0.000000E+00 0.000000E+00 4.204416E-02 4.198912E-02 4.204384E-02 4.203744E-02 4.204352E-02 5.483712E-02 4.204448E-02 4.201088E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.784011E+00 2.393755E+00 0.000000E+00 0.000000E+00 4.261088E-02 4.256192E-02 4.261088E-02 4.260128E-02 4.261088E-02 5.717440E-02 4.261088E-02 4.259712E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.520860E+00 1.839693E+00 0.000000E+00 0.000000E+00 4.076736E-02 4.071584E-02 4.076800E-02 4.076096E-02 4.076768E-02 4.931328E-02 4.076800E-02 4.075808E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.855517E+00 2.293398E+00 0.000000E+00 0.000000E+00 3.880640E-02 3.877216E-02 3.880672E-02 3.880032E-02 3.880704E-02 4.796352E-02 3.880704E-02 3.879712E-02
