Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.933674E+00 2.366667E+00 0.000000E+00 0.000000E+00 6.000000E-02 5.988768E-02 6.000000E-02 5.998304E-02 6.000000E-02 7.343424E-02 6.000000E-02 5.997216E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.550595E+00 1.900532E+00 0.000000E+00 0.000000E+00 3.998912E-02 3.992032E-02 3.998880E-02 3.997472E-02 3.998880E-02 4.901184E-02 3.998880E-02 3.997184E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.812549E+00 2.330263E+00 0.000000E+00 0.000000E+00 4.248544E-02 4.241440E-02 4.248544E-02 4.247392E-02 4.248448E-02 5.461824E-02 4.248512E-02 4.244864E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.901708E+00 2.535345E+00 0.000000E+00 0.000000E+00 4.259776E-02 4.252352E-02 4.259776E-02 4.258560E-02 4.259776E-02 5.678976E-02 4.259776E-02 4.258080E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.778628E+00 2.173621E+00 0.000000E+00 0.000000E+00 4.048544E-02 4.041632E-02 4.048544E-02 4.047552E-02 4.048544E-02 4.947392E-02 4.048544E-02 4.046752E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.648244E+00 2.189628E+00 0.000000E+00 0.000000E+00 4.247360E-02 4.240480E-02 4.247328E-02 4.246400E-02 4.247296E-02 5.642240E-02 4.247392E-02 4.245696E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.444363E+00 1.829358E+00 0.000000E+00 0.000000E+00 4.154464E-02 4.149024E-02 4.154464E-02 4.152544E-02 4.154464E-02 5.261760E-02 4.154464E-02 4.153056E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.940428E+00 2.490994E+00 0.000000E+00 0.000000E+00 4.175040E-02 4.168960E-02 4.175040E-02 4.174304E-02 4.175040E-02 5.359552E-02 4.175040E-02 4.173312E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.916452E+00 2.460462E+00 0.000000E+00 0.000000E+00 4.226816E-02 4.220608E-02 4.226880E-02 4.225984E-02 4.226848E-02 5.426624E-02 4.226944E-02 4.225216E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.552853E+00 2.070284E+00 0.000000E+00 0.000000E+00 4.250624E-02 4.244256E-02 4.250624E-02 4.249664E-02 4.250624E-02 5.666880E-02 4.250624E-02 4.246880E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.794748E+00 2.458288E+00 0.000000E+00 0.000000E+00 4.067872E-02 4.063520E-02 4.067872E-02 4.066880E-02 4.067872E-02 5.571584E-02 4.067872E-02 4.066112E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.040475E+00 2.568519E+00 0.000000E+00 0.000000E+00 4.165824E-02 4.160256E-02 4.165824E-02 4.164384E-02 4.165824E-02 5.243712E-02 4.165824E-02 4.164448E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.451303E+00 1.967698E+00 0.000000E+00 0.000000E+00 4.065664E-02 4.061088E-02 4.065664E-02 4.064928E-02 4.065664E-02 5.512128E-02 4.065664E-02 4.063936E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.905988E+00 2.315905E+00 0.000000E+00 0.000000E+00 4.145312E-02 4.139776E-02 4.145280E-02 4.144544E-02 4.145248E-02 5.036544E-02 4.145216E-02 4.141888E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.006092E+00 2.649203E+00 0.000000E+00 0.000000E+00 2.642304E-02 2.639584E-02 2.642304E-02 2.641824E-02 2.642304E-02 3.489280E-02 2.642304E-02 2.641280E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.491232E+00 1.813870E+00 0.000000E+00 0.000000E+00 4.024544E-02 4.019232E-02 4.024544E-02 4.023776E-02 4.024544E-02 4.895040E-02 4.024544E-02 4.023520E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.808070E+00 2.446128E+00 0.000000E+00 0.000000E+00 5.641632E-02 5.635104E-02 5.641632E-02 5.639872E-02 5.641568E-02 7.632192E-02 5.641632E-02 5.639552E-02
18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.942436E+00 2.416072E+00 0.000000E+00 0.000000E+00 4.221728E-02 4.217952E-02 4.221728E-02 4.221024E-02 4.221728E-02 5.251072E-02 4.221728E-02 4.220352E-02
19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.147953E+00 2.542698E+00 0.000000E+00 0.000000E+00 4.050816E-02 4.047296E-02 4.050816E-02 4.050112E-02 4.050816E-02 4.795200E-02 4.050816E-02 4.047776E-02
20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.811292E+00 2.307408E+00 0.000000E+00 0.000000E+00 4.030496E-02 4.026048E-02 4.030496E-02 4.029536E-02 4.030496E-02 5.134208E-02 4.030496E-02 4.029472E-02
21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.687638E+00 2.266152E+00 0.000000E+00 0.000000E+00 4.148000E-02 4.144192E-02 4.148000E-02 4.147488E-02 4.148000E-02 5.569792E-02 4.147936E-02 4.146944E-02
22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.680201E+00 2.273051E+00 0.000000E+00 0.000000E+00 4.047488E-02 4.043776E-02 4.047424E-02 4.046080E-02 4.047424E-02 5.475328E-02 4.047424E-02 4.046560E-02
23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.961282E+00 2.518013E+00 0.000000E+00 0.000000E+00 4.130304E-02 4.125600E-02 4.130272E-02 4.129856E-02 4.130240E-02 5.302592E-02 4.130240E-02 4.128960E-02
24 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.802348E+00 2.320758E+00 0.000000E+00 0.000000E+00 4.050400E-02 4.046624E-02 4.050400E-02 4.049888E-02 4.050400E-02 5.215360E-02 4.050400E-02 4.047360E-02
25 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.805023E+00 2.334424E+00 0.000000E+00 0.000000E+00 4.155264E-02 4.151520E-02 4.155264E-02 4.154336E-02 4.155200E-02 5.373632E-02 4.155264E-02 4.154272E-02
26 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.897153E+00 2.432134E+00 0.000000E+00 0.000000E+00 4.111552E-02 4.106944E-02 4.111648E-02 4.111168E-02 4.111616E-02 5.270976E-02 4.111680E-02 4.110912E-02
27 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.515664E+00 1.962862E+00 0.000000E+00 0.000000E+00 4.024736E-02 4.020960E-02 4.024736E-02 4.024032E-02 4.024736E-02 5.212032E-02 4.024736E-02 4.023712E-02
28 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.800438E+00 2.335612E+00 0.000000E+00 0.000000E+00 4.110272E-02 4.106496E-02 4.110272E-02 4.109792E-02 4.110272E-02 5.331776E-02 4.110272E-02 4.109216E-02
29 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.038423E+00 2.790439E+00 0.000000E+00 0.000000E+00 4.121248E-02 4.118592E-02 4.121280E-02 4.120320E-02 4.121216E-02 5.641472E-02 4.121312E-02 4.120256E-02
30 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.780451E+00 2.207558E+00 0.000000E+00 0.000000E+00 4.212800E-02 4.210112E-02 4.212800E-02 4.212096E-02 4.212800E-02 5.223296E-02 4.212800E-02 4.209760E-02
31 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.801658E+00 2.417960E+00 0.000000E+00 0.000000E+00 4.218528E-02 4.215808E-02 4.218464E-02 4.218016E-02 4.218432E-02 5.661376E-02 4.218400E-02 4.217824E-02
32 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.248576E+00 2.863802E+00 0.000000E+00 0.000000E+00 4.225152E-02 4.222496E-02 4.225152E-02 4.224704E-02 4.225152E-02 5.381120E-02 4.225152E-02 4.224128E-02
33 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.698478E+00 2.098019E+00 0.000000E+00 0.000000E+00 4.003808E-02 4.001088E-02 4.003808E-02 4.003296E-02 4.003776E-02 4.945536E-02 4.003776E-02 4.002784E-02
34 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.205651E+00 1.418391E+00 0.000000E+00 0.000000E+00 4.230240E-02 4.226592E-02 4.230176E-02 4.229696E-02 4.230144E-02 4.976448E-02 4.230208E-02 4.229536E-02
