Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.947463E+00 2.469352E+00 0.000000E+00 0.000000E+00 7.086976E-02 7.074976E-02 7.087008E-02 7.084832E-02 7.086880E-02 8.985664E-02 7.086944E-02 7.081568E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.601243E+00 2.276548E+00 0.000000E+00 0.000000E+00 3.997280E-02 3.990144E-02 3.997280E-02 3.996064E-02 3.997280E-02 5.683072E-02 3.997280E-02 3.995232E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.998608E+00 2.539159E+00 0.000000E+00 0.000000E+00 4.253376E-02 4.246208E-02 4.253376E-02 4.252128E-02 4.253376E-02 5.403648E-02 4.253376E-02 4.250912E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.344478E+00 3.062539E+00 0.000000E+00 0.000000E+00 2.644896E-02 2.641120E-02 2.644864E-02 2.644192E-02 2.644864E-02 3.454720E-02 2.644896E-02 2.641504E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.925477E+00 2.468307E+00 0.000000E+00 0.000000E+00 4.051328E-02 4.045984E-02 4.051296E-02 4.050432E-02 4.051360E-02 5.193472E-02 4.051360E-02 4.049344E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.813383E+00 2.543197E+00 0.000000E+00 0.000000E+00 4.246624E-02 4.240256E-02 4.246624E-02 4.245856E-02 4.246624E-02 5.955648E-02 4.246624E-02 4.244576E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.579330E+00 2.003462E+00 0.000000E+00 0.000000E+00 4.242688E-02 4.236416E-02 4.242720E-02 4.241280E-02 4.242656E-02 5.381824E-02 4.242720E-02 4.238656E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.345515E+00 2.931586E+00 0.000000E+00 0.000000E+00 4.263904E-02 4.258240E-02 4.263904E-02 4.262912E-02 4.263904E-02 5.329280E-02 4.263904E-02 4.261856E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.438213E+00 1.862210E+00 0.000000E+00 0.000000E+00 4.242272E-02 4.237408E-02 4.242272E-02 4.241312E-02 4.242272E-02 5.492736E-02 4.242272E-02 4.240192E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.628834E+00 2.147977E+00 0.000000E+00 0.000000E+00 4.236544E-02 4.230464E-02 4.236544E-02 4.235808E-02 4.236544E-02 5.586560E-02 4.236544E-02 4.232448E-02
