Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.604171E+00 2.088155E+00 0.000000E+00 0.000000E+00 6.608736E-02 6.597824E-02 6.608704E-02 6.606912E-02 6.608704E-02 8.602496E-02 6.608704E-02 6.603360E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.828599E+00 2.279249E+00 0.000000E+00 0.000000E+00 3.992544E-02 3.986304E-02 3.992544E-02 3.990336E-02 3.992544E-02 4.976256E-02 3.992544E-02 3.990144E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.824811E+00 2.393456E+00 0.000000E+00 0.000000E+00 4.219840E-02 4.214176E-02 4.219840E-02 4.218624E-02 4.219840E-02 5.534592E-02 4.219840E-02 4.217440E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.933204E+00 2.592931E+00 0.000000E+00 0.000000E+00 4.242336E-02 4.235744E-02 4.242304E-02 4.240896E-02 4.242304E-02 5.689856E-02 4.242336E-02 4.238304E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.649711E+00 2.097315E+00 0.000000E+00 0.000000E+00 4.243520E-02 4.236960E-02 4.243552E-02 4.242400E-02 4.243520E-02 5.394816E-02 4.243552E-02 4.241152E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.024113E+00 2.592050E+00 0.000000E+00 0.000000E+00 5.632608E-02 5.624032E-02 5.632608E-02 5.630880E-02 5.632608E-02 7.212992E-02 5.632576E-02 5.629856E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.267052E+00 3.197199E+00 0.000000E+00 0.000000E+00 4.191168E-02 4.185504E-02 4.191168E-02 4.189504E-02 4.191168E-02 5.910720E-02 4.191168E-02 4.187104E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.552643E+00 2.046450E+00 0.000000E+00 0.000000E+00 4.251264E-02 4.246400E-02 4.251264E-02 4.249568E-02 4.251264E-02 5.603264E-02 4.251264E-02 4.249184E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.216978E+00 1.514869E+00 0.000000E+00 0.000000E+00 4.026752E-02 4.021216E-02 4.026752E-02 4.025280E-02 4.026752E-02 5.012288E-02 4.026752E-02 4.025056E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.667894E+00 2.114026E+00 0.000000E+00 0.000000E+00 4.257280E-02 4.252672E-02 4.257280E-02 4.256096E-02 4.257280E-02 5.395904E-02 4.257280E-02 4.253536E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.847859E+00 2.488332E+00 0.000000E+00 0.000000E+00 4.058944E-02 4.053632E-02 4.058944E-02 4.057952E-02 4.058944E-02 5.465536E-02 4.058944E-02 4.057216E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.948152E+00 2.534716E+00 0.000000E+00 0.000000E+00 4.260768E-02 4.256320E-02 4.260736E-02 4.259680E-02 4.260832E-02 5.543424E-02 4.260832E-02 4.259200E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.630447E+00 1.890245E+00 0.000000E+00 0.000000E+00 4.232320E-02 4.227776E-02 4.232192E-02 4.231392E-02 4.232256E-02 4.906368E-02 4.232256E-02 4.228608E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.600729E+00 2.023872E+00 0.000000E+00 0.000000E+00 4.249344E-02 4.244800E-02 4.249280E-02 4.247936E-02 4.249280E-02 5.372288E-02 4.249312E-02 4.247680E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.768918E+00 2.277697E+00 0.000000E+00 0.000000E+00 4.126976E-02 4.123424E-02 4.126976E-02 4.125504E-02 4.126976E-02 5.313920E-02 4.126976E-02 4.125248E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.737613E+00 2.123667E+00 0.000000E+00 0.000000E+00 4.143776E-02 4.140000E-02 4.143776E-02 4.143072E-02 4.143776E-02 5.064192E-02 4.143744E-02 4.142080E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.559794E+00 1.866843E+00 0.000000E+00 0.000000E+00 4.231744E-02 4.227264E-02 4.231744E-02 4.230560E-02 4.231744E-02 5.064704E-02 4.231744E-02 4.228352E-02
18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.061098E+00 2.763456E+00 0.000000E+00 0.000000E+00 4.270016E-02 4.266528E-02 4.270016E-02 4.269056E-02 4.270016E-02 5.724928E-02 4.270016E-02 4.268288E-02
19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.800954E+00 2.318963E+00 0.000000E+00 0.000000E+00 4.053568E-02 4.050048E-02 4.053568E-02 4.052864E-02 4.053536E-02 5.219392E-02 4.053504E-02 4.052224E-02
20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.378116E+00 1.796401E+00 0.000000E+00 0.000000E+00 4.063680E-02 4.059232E-02 4.063680E-02 4.062400E-02 4.063680E-02 5.296896E-02 4.063680E-02 4.061920E-02
21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.689476E+00 2.051301E+00 0.000000E+00 0.000000E+00 4.143648E-02 4.139904E-02 4.143712E-02 4.142944E-02 4.143712E-02 5.030912E-02 4.143680E-02 4.140320E-02
22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.055387E+00 2.638929E+00 0.000000E+00 0.000000E+00 3.941056E-02 3.937600E-02 3.941088E-02 3.940160E-02 3.940992E-02 5.059776E-02 3.941024E-02 3.939712E-02
