Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.819527E+00 2.330620E+00 0.000000E+00 0.000000E+00 6.650592E-02 6.639872E-02 6.650592E-02 6.648672E-02 6.650592E-02 8.518336E-02 6.650592E-02 6.645088E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.578172E+00 1.820798E+00 0.000000E+00 0.000000E+00 4.119104E-02 4.112448E-02 4.119008E-02 4.117120E-02 4.119072E-02 4.752128E-02 4.119072E-02 4.117408E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.304178E+00 1.588581E+00 0.000000E+00 0.000000E+00 4.217632E-02 4.211200E-02 4.217600E-02 4.216704E-02 4.217600E-02 5.137152E-02 4.217632E-02 4.215904E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.721347E+00 2.169320E+00 0.000000E+00 0.000000E+00 4.240992E-02 4.235104E-02 4.240960E-02 4.240096E-02 4.240960E-02 5.344512E-02 4.240992E-02 4.239328E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.793143E+00 2.335558E+00 0.000000E+00 0.000000E+00 4.238816E-02 4.232832E-02 4.238816E-02 4.237824E-02 4.238816E-02 5.520896E-02 4.238816E-02 4.237056E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.924412E+00 2.626281E+00 0.000000E+00 0.000000E+00 3.274592E-02 3.269344E-02 3.274592E-02 3.273888E-02 3.274592E-02 4.468800E-02 3.274592E-02 3.273216E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.655430E+00 1.981324E+00 0.000000E+00 0.000000E+00 3.987232E-02 3.980896E-02 3.987264E-02 3.986048E-02 3.987232E-02 4.772096E-02 3.987264E-02 3.985888E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.816559E+00 2.264527E+00 0.000000E+00 0.000000E+00 4.239296E-02 4.233600E-02 4.239200E-02 4.238528E-02 4.239296E-02 5.284480E-02 4.239296E-02 4.235552E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.113476E+00 2.706841E+00 0.000000E+00 0.000000E+00 4.211552E-02 4.205888E-02 4.211552E-02 4.210624E-02 4.211552E-02 5.393856E-02 4.211552E-02 4.210208E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.580022E+00 2.051484E+00 0.000000E+00 0.000000E+00 4.240832E-02 4.234720E-02 4.240832E-02 4.239360E-02 4.240832E-02 5.506048E-02 4.240832E-02 4.239456E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.658518E+00 2.035307E+00 0.000000E+00 0.000000E+00 3.979744E-02 3.975456E-02 3.979776E-02 3.978816E-02 3.979744E-02 4.883712E-02 3.979744E-02 3.978432E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.719082E+00 2.203142E+00 0.000000E+00 0.000000E+00 4.130464E-02 4.125888E-02 4.130496E-02 4.129152E-02 4.130464E-02 5.293440E-02 4.130464E-02 4.129120E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.036387E+00 2.689415E+00 0.000000E+00 0.000000E+00 3.978560E-02 3.973984E-02 3.978560E-02 3.977824E-02 3.978560E-02 5.254336E-02 3.978560E-02 3.977184E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.613781E+00 2.109793E+00 0.000000E+00 0.000000E+00 4.028832E-02 4.024256E-02 4.028864E-02 4.027904E-02 4.028832E-02 5.267072E-02 4.028832E-02 4.027808E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.754715E+00 2.298339E+00 0.000000E+00 0.000000E+00 4.046400E-02 4.040864E-02 4.046400E-02 4.045184E-02 4.046400E-02 5.299776E-02 4.046368E-02 4.045024E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.794661E+00 2.432182E+00 0.000000E+00 0.000000E+00 4.234976E-02 4.230048E-02 4.234912E-02 4.234496E-02 4.234880E-02 5.739072E-02 4.234880E-02 4.233632E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.981140E+00 2.402056E+00 0.000000E+00 0.000000E+00 4.038240E-02 4.034976E-02 4.038240E-02 4.037280E-02 4.038208E-02 4.896000E-02 4.038176E-02 4.034816E-02
18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.484420E+00 1.830639E+00 0.000000E+00 0.000000E+00 4.042304E-02 4.038848E-02 4.042240E-02 4.041632E-02 4.042304E-02 4.984832E-02 4.042336E-02 4.040992E-02
19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.644366E+00 2.114153E+00 0.000000E+00 0.000000E+00 4.257056E-02 4.252384E-02 4.257120E-02 4.256608E-02 4.257024E-02 5.473152E-02 4.257024E-02 4.255744E-02
20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.905322E+00 2.573116E+00 0.000000E+00 0.000000E+00 4.041760E-02 4.038016E-02 4.041760E-02 4.040992E-02 4.041792E-02 5.458368E-02 4.041760E-02 4.040768E-02
