Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.747312E+00 2.252139E+00 0.000000E+00 0.000000E+00 7.326368E-02 7.312992E-02 7.326368E-02 7.324160E-02 7.326368E-02 9.443072E-02 7.326368E-02 7.322912E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.847963E+00 2.582018E+00 0.000000E+00 0.000000E+00 4.221504E-02 4.214976E-02 4.221504E-02 4.220320E-02 4.221504E-02 5.898176E-02 4.221504E-02 4.219424E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.703345E+00 2.034336E+00 0.000000E+00 0.000000E+00 4.227424E-02 4.220928E-02 4.227424E-02 4.225696E-02 4.227424E-02 5.048640E-02 4.227424E-02 4.223680E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.729950E+00 2.108909E+00 0.000000E+00 0.000000E+00 4.220192E-02 4.213920E-02 4.220192E-02 4.218976E-02 4.220192E-02 5.144640E-02 4.220160E-02 4.218464E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.873347E+00 2.528450E+00 0.000000E+00 0.000000E+00 4.271392E-02 4.265152E-02 4.271392E-02 4.270432E-02 4.271392E-02 5.764928E-02 4.271392E-02 4.269664E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.652752E+00 2.077557E+00 0.000000E+00 0.000000E+00 4.235744E-02 4.229440E-02 4.235744E-02 4.234752E-02 4.235744E-02 5.324416E-02 4.235744E-02 4.232032E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.758916E+00 2.186578E+00 0.000000E+00 0.000000E+00 4.207520E-02 4.201184E-02 4.207520E-02 4.206336E-02 4.207488E-02 5.230400E-02 4.207488E-02 4.205856E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.911979E+00 2.313136E+00 0.000000E+00 0.000000E+00 4.236640E-02 4.231008E-02 4.236672E-02 4.235648E-02 4.236672E-02 5.125376E-02 4.236640E-02 4.234944E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.046188E+00 2.704447E+00 0.000000E+00 0.000000E+00 4.252256E-02 4.246528E-02 4.252256E-02 4.250976E-02 4.252256E-02 5.620160E-02 4.252256E-02 4.250880E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.711879E+00 2.133778E+00 0.000000E+00 0.000000E+00 4.264672E-02 4.258432E-02 4.264768E-02 4.263840E-02 4.264736E-02 5.315520E-02 4.264736E-02 4.261376E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.987405E+00 2.447616E+00 0.000000E+00 0.000000E+00 4.126432E-02 4.121824E-02 4.126464E-02 4.125728E-02 4.126464E-02 5.081920E-02 4.126432E-02 4.125088E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.749584E+00 2.235093E+00 0.000000E+00 0.000000E+00 4.116128E-02 4.111840E-02 4.116160E-02 4.115424E-02 4.116160E-02 5.258304E-02 4.116096E-02 4.114816E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.768307E+00 2.357512E+00 0.000000E+00 0.000000E+00 4.241760E-02 4.237152E-02 4.241760E-02 4.241056E-02 4.241760E-02 5.654976E-02 4.241760E-02 4.240064E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.998413E+00 2.614939E+00 0.000000E+00 0.000000E+00 4.053632E-02 4.049344E-02 4.053632E-02 4.052448E-02 4.053632E-02 5.304000E-02 4.053632E-02 4.050208E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.244581E+00 3.000378E+00 0.000000E+00 0.000000E+00 4.232800E-02 4.227328E-02 4.232832E-02 4.231904E-02 4.232800E-02 5.657856E-02 4.232864E-02 4.231520E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.821724E+00 2.492331E+00 0.000000E+00 0.000000E+00 4.172896E-02 4.168320E-02 4.172800E-02 4.171488E-02 4.172800E-02 5.708800E-02 4.172864E-02 4.171872E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.212398E+00 2.878387E+00 0.000000E+00 0.000000E+00 4.203744E-02 4.198496E-02 4.203712E-02 4.203296E-02 4.203744E-02 5.468928E-02 4.203744E-02 4.202432E-02
18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.747248E+00 2.431907E+00 0.000000E+00 0.000000E+00 4.235360E-02 4.231232E-02 4.235360E-02 4.234624E-02 4.235360E-02 5.894784E-02 4.235360E-02 4.233952E-02
19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.664904E+00 2.111973E+00 0.000000E+00 0.000000E+00 4.024672E-02 4.021152E-02 4.024672E-02 4.023712E-02 4.024672E-02 5.105216E-02 4.024672E-02 4.021536E-02
