Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.355525E+00 1.762098E+00 0.000000E+00 0.000000E+00 7.377664E-02 7.365376E-02 7.377632E-02 7.375264E-02 7.377568E-02 9.590272E-02 7.377632E-02 7.371872E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.111278E+00 2.585507E+00 0.000000E+00 0.000000E+00 4.215808E-02 4.208128E-02 4.215840E-02 4.214848E-02 4.215808E-02 5.162496E-02 4.215872E-02 4.214112E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.727624E+00 2.196307E+00 0.000000E+00 0.000000E+00 4.052192E-02 4.045120E-02 4.052192E-02 4.050784E-02 4.052256E-02 5.151552E-02 4.052224E-02 4.050560E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.623466E+00 2.188995E+00 0.000000E+00 0.000000E+00 4.065792E-02 4.058880E-02 4.065792E-02 4.064800E-02 4.065792E-02 5.481920E-02 4.065792E-02 4.064096E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.739452E+00 2.161667E+00 0.000000E+00 0.000000E+00 4.024672E-02 4.019520E-02 4.024672E-02 4.023712E-02 4.024672E-02 5.001280E-02 4.024672E-02 4.022912E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.971640E+00 2.439654E+00 0.000000E+00 0.000000E+00 4.057824E-02 4.052864E-02 4.057888E-02 4.057024E-02 4.057952E-02 5.021120E-02 4.057888E-02 4.056256E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.837141E+00 2.496401E+00 0.000000E+00 0.000000E+00 4.246112E-02 4.239776E-02 4.246112E-02 4.245152E-02 4.246112E-02 5.769664E-02 4.246080E-02 4.244416E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.656867E+00 2.225431E+00 0.000000E+00 0.000000E+00 4.044192E-02 4.037856E-02 4.044192E-02 4.042976E-02 4.044160E-02 5.431808E-02 4.044160E-02 4.042784E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.638465E+00 2.159589E+00 0.000000E+00 0.000000E+00 4.028512E-02 4.023680E-02 4.028576E-02 4.027616E-02 4.028544E-02 5.309824E-02 4.028544E-02 4.027200E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.866433E+00 2.574855E+00 0.000000E+00 0.000000E+00 4.233216E-02 4.227808E-02 4.233184E-02 4.232064E-02 4.233248E-02 5.839808E-02 4.233248E-02 4.231936E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.667504E+00 2.157861E+00 0.000000E+00 0.000000E+00 4.078112E-02 4.073792E-02 4.078112E-02 4.077376E-02 4.078112E-02 5.277120E-02 4.078112E-02 4.076768E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.687084E+00 2.158235E+00 0.000000E+00 0.000000E+00 4.031072E-02 4.026720E-02 4.031072E-02 4.030336E-02 4.031072E-02 5.156608E-02 4.031072E-02 4.029664E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.200139E+00 2.793390E+00 0.000000E+00 0.000000E+00 2.863904E-02 2.860672E-02 2.863904E-02 2.863392E-02 2.863904E-02 3.636096E-02 2.863904E-02 2.862816E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.042806E+00 2.625958E+00 0.000000E+00 0.000000E+00 5.483840E-02 5.477600E-02 5.483808E-02 5.482912E-02 5.483712E-02 7.049024E-02 5.483744E-02 5.482176E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.815531E+00 2.310571E+00 0.000000E+00 0.000000E+00 4.241344E-02 4.235840E-02 4.241376E-02 4.240192E-02 4.241376E-02 5.397760E-02 4.241376E-02 4.240000E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.979681E+00 2.400268E+00 0.000000E+00 0.000000E+00 4.041184E-02 4.037408E-02 4.041184E-02 4.040448E-02 4.041216E-02 4.899584E-02 4.041152E-02 4.039840E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.860781E+00 2.416430E+00 0.000000E+00 0.000000E+00 4.138304E-02 4.134272E-02 4.138304E-02 4.137632E-02 4.138336E-02 5.373824E-02 4.138336E-02 4.135264E-02
18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.547233E+00 1.933997E+00 0.000000E+00 0.000000E+00 4.136512E-02 4.132800E-02 4.136544E-02 4.135616E-02 4.136512E-02 5.170496E-02 4.136576E-02 4.135520E-02
19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.856992E+00 2.352111E+00 0.000000E+00 0.000000E+00 5.654464E-02 5.649408E-02 5.654464E-02 5.653536E-02 5.654496E-02 7.162048E-02 5.654464E-02 5.652832E-02
20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.972679E+00 2.603443E+00 0.000000E+00 0.000000E+00 2.535104E-02 2.531712E-02 2.535104E-02 2.534112E-02 2.535104E-02 3.345536E-02 2.535104E-02 2.534368E-02
21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.881034E+00 2.242546E+00 0.000000E+00 0.000000E+00 4.147008E-02 4.143072E-02 4.147040E-02 4.146144E-02 4.147072E-02 4.943872E-02 4.147104E-02 4.145760E-02
22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.669451E+00 2.092597E+00 0.000000E+00 0.000000E+00 4.253088E-02 4.249280E-02 4.253088E-02 4.252576E-02 4.253088E-02 5.330880E-02 4.253088E-02 4.252000E-02
