Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 9.130162E+01 2.455026E+01 6.079639E+01 4.758735E+01 4.004314E+01 3.527829E+01 0.000000E+00 0.000000E+00 5.816640E-02 1.563968E-02 5.816672E-02 4.552864E-02 5.816608E-02 5.124288E-02 5.816640E-02 5.798464E-02
2 9.216079E+01 2.453203E+01 6.036814E+01 4.901629E+01 3.895181E+01 3.344585E+01 0.000000E+00 0.000000E+00 4.251584E-02 1.131648E-02 4.251648E-02 3.452032E-02 4.251648E-02 3.650560E-02 4.251648E-02 4.235808E-02
3 9.283123E+01 2.287622E+01 6.053349E+01 4.981302E+01 3.923415E+01 3.442056E+01 0.000000E+00 0.000000E+00 4.235840E-02 1.043808E-02 4.235840E-02 3.485632E-02 4.235840E-02 3.716064E-02 4.235840E-02 4.214080E-02
4 9.125489E+01 2.541509E+01 6.159964E+01 4.630029E+01 4.248727E+01 3.606897E+01 0.000000E+00 0.000000E+00 4.261248E-02 1.186720E-02 4.261312E-02 3.202848E-02 4.261280E-02 3.617472E-02 4.261280E-02 4.249952E-02
5 9.119384E+01 2.592415E+01 6.233762E+01 5.114940E+01 3.988460E+01 3.432455E+01 0.000000E+00 0.000000E+00 4.297152E-02 1.221504E-02 4.297216E-02 3.525920E-02 4.297216E-02 3.698048E-02 4.297184E-02 4.285824E-02
6 9.452792E+01 2.338294E+01 6.009115E+01 4.678915E+01 3.817003E+01 3.516889E+01 0.000000E+00 0.000000E+00 4.233856E-02 1.047264E-02 4.233888E-02 3.296576E-02 4.233856E-02 3.900928E-02 4.233888E-02 4.220192E-02
7 9.232600E+01 2.569739E+01 6.442572E+01 4.998837E+01 4.238012E+01 3.547460E+01 0.000000E+00 0.000000E+00 4.265024E-02 1.187072E-02 4.264992E-02 3.309120E-02 4.265024E-02 3.570048E-02 4.264992E-02 4.253632E-02
8 9.354068E+01 2.427963E+01 6.002075E+01 4.851211E+01 3.967078E+01 3.526439E+01 0.000000E+00 0.000000E+00 4.242240E-02 1.101088E-02 4.242240E-02 3.428736E-02 4.242240E-02 3.770912E-02 4.242240E-02 4.230784E-02
9 9.116353E+01 2.341507E+01 6.093015E+01 4.666621E+01 3.988804E+01 3.292598E+01 0.000000E+00 0.000000E+00 4.279296E-02 1.099040E-02 4.279328E-02 3.277376E-02 4.279296E-02 3.532352E-02 4.279328E-02 4.268000E-02
10 8.946756E+01 2.571620E+01 6.475371E+01 4.965057E+01 4.163324E+01 3.520299E+01 0.000000E+00 0.000000E+00 4.153024E-02 1.193696E-02 4.153024E-02 3.184288E-02 4.153056E-02 3.511488E-02 4.153024E-02 4.133600E-02
11 8.999254E+01 2.546744E+01 5.967899E+01 4.870344E+01 4.153260E+01 3.487826E+01 0.000000E+00 0.000000E+00 4.122912E-02 1.166688E-02 4.122912E-02 3.364576E-02 4.122912E-02 3.462240E-02 4.122944E-02 4.113824E-02
