injection_no,discharge_E,start_frame,finish_frame,A_f,t_0_f,tau_f,C_f,A,t_0,tau,C,fit_success,fit_message
1,6660.0,64,68,162.8847795534374,65.0,0.9788333362263965,64.0,162.8847795534374,3.25,0.048941666811319826,64.0,True,ok
2,6660.0,100,112,2174.3160214041873,101.0,15.355855923122945,64.0,2174.3160214041873,5.050000000000001,0.7677927961561473,64.0,True,ok
3,6660.0,146,157,2785.4000825251333,147.0,5.511318816797598,64.0,2785.4000825251333,7.3500000000000005,0.2755659408398799,64.0,True,ok
4,6660.0,194,205,282.0000006916405,195.0,324400219.6723975,64.0,282.0000006916405,9.75,16220010.983619876,64.0,True,ok
