injection_no,discharge_E,start_frame,finish_frame,A_f,t_0_f,tau_f,C_f,A,t_0,tau,C,fit_success,fit_message
1,6660.0,64,66,72.6446037278344,65.0,1.3081180517249973,61.0,72.6446037278344,3.25,0.06540590258624987,61.0,True,ok
2,6660.0,147,152,82.00000082042416,148.0,99948299.8727912,61.0,82.00000082042416,7.4,4997414.99363956,61.0,True,ok
