Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.680039E+00 2.159885E+00 0.000000E+00 0.000000E+00 7.083776E-02 7.070784E-02 7.083808E-02 7.081696E-02 7.083712E-02 9.106816E-02 7.083744E-02 7.080480E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.978257E+00 2.434660E+00 0.000000E+00 0.000000E+00 2.628704E-02 2.623712E-02 2.628672E-02 2.628000E-02 2.628704E-02 3.235008E-02 2.628608E-02 2.627328E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.766521E+00 2.164438E+00 0.000000E+00 0.000000E+00 4.019616E-02 4.012448E-02 4.019584E-02 4.018144E-02 4.019520E-02 4.924864E-02 4.019584E-02 4.015520E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.793206E+00 2.156376E+00 0.000000E+00 0.000000E+00 4.127392E-02 4.121184E-02 4.127392E-02 4.126400E-02 4.127296E-02 4.963136E-02 4.127360E-02 4.125664E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.383839E+00 1.796507E+00 0.000000E+00 0.000000E+00 4.119104E-02 4.112608E-02 4.119104E-02 4.117888E-02 4.119104E-02 5.347264E-02 4.119104E-02 4.117312E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.875424E+00 2.344021E+00 0.000000E+00 0.000000E+00 4.052864E-02 4.047424E-02 4.052864E-02 4.051904E-02 4.052864E-02 5.065472E-02 4.052864E-02 4.051168E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.526429E+00 2.066255E+00 0.000000E+00 0.000000E+00 4.258816E-02 4.252576E-02 4.258880E-02 4.257504E-02 4.258912E-02 5.764928E-02 4.258880E-02 4.257248E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.245376E+00 1.456690E+00 0.000000E+00 0.000000E+00 4.256224E-02 4.249600E-02 4.256224E-02 4.255264E-02 4.256224E-02 4.978368E-02 4.256224E-02 4.254496E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.745059E+00 2.216546E+00 0.000000E+00 0.000000E+00 4.240896E-02 4.235200E-02 4.240864E-02 4.240192E-02 4.240832E-02 5.386560E-02 4.240832E-02 4.239200E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.915002E+00 2.529446E+00 0.000000E+00 0.000000E+00 4.230176E-02 4.224768E-02 4.230176E-02 4.228704E-02 4.230176E-02 5.587392E-02 4.230176E-02 4.226464E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.532036E+00 2.026604E+00 0.000000E+00 0.000000E+00 4.243552E-02 4.238080E-02 4.243616E-02 4.242080E-02 4.243552E-02 5.613312E-02 4.243488E-02 4.241888E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.646867E+00 2.187815E+00 0.000000E+00 0.000000E+00 4.250816E-02 4.246304E-02 4.250848E-02 4.249952E-02 4.250816E-02 5.646976E-02 4.250816E-02 4.249536E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.600066E+00 2.070534E+00 0.000000E+00 0.000000E+00 4.250208E-02 4.245632E-02 4.250208E-02 4.249504E-02 4.250112E-02 5.499520E-02 4.250176E-02 4.248832E-02
