Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 9.084184E+01 2.408242E+01 6.102584E+01 4.947176E+01 4.070667E+01 3.487510E+01 0.000000E+00 0.000000E+00 5.967008E-02 1.581760E-02 5.967040E-02 4.837152E-02 5.967008E-02 5.112160E-02 5.967104E-02 5.948832E-02
2 9.231350E+01 2.562381E+01 6.034938E+01 4.817409E+01 4.027093E+01 3.659858E+01 0.000000E+00 0.000000E+00 4.164096E-02 1.155776E-02 4.164064E-02 3.323872E-02 4.164096E-02 3.784224E-02 4.164064E-02 4.150432E-02
3 9.279244E+01 2.410835E+01 6.286328E+01 5.018075E+01 4.007686E+01 3.499167E+01 0.000000E+00 0.000000E+00 4.226752E-02 1.098112E-02 4.226720E-02 3.373856E-02 4.226720E-02 3.690272E-02 4.226752E-02 4.205024E-02
4 8.989413E+01 2.361622E+01 6.348425E+01 4.976099E+01 3.923273E+01 3.498244E+01 0.000000E+00 0.000000E+00 4.073472E-02 1.070112E-02 4.073472E-02 3.192832E-02 4.073472E-02 3.632128E-02 4.073472E-02 4.062080E-02
5 9.147345E+01 2.412895E+01 6.161184E+01 4.695091E+01 3.958149E+01 3.481131E+01 0.000000E+00 0.000000E+00 3.978624E-02 1.049440E-02 3.978624E-02 3.031776E-02 3.978592E-02 3.499008E-02 3.978592E-02 3.967232E-02
6 9.406186E+01 2.383054E+01 6.198592E+01 4.794688E+01 4.097467E+01 3.390692E+01 0.000000E+00 0.000000E+00 4.187904E-02 1.060928E-02 4.187968E-02 3.239328E-02 4.187936E-02 3.465504E-02 4.187936E-02 4.176544E-02
7 9.118299E+01 2.495411E+01 6.119400E+01 4.794719E+01 4.132897E+01 3.483280E+01 0.000000E+00 0.000000E+00 4.079488E-02 1.116416E-02 4.079488E-02 3.196256E-02 4.079488E-02 3.438208E-02 4.079488E-02 4.070048E-02
8 9.130460E+01 2.286381E+01 6.221903E+01 4.952222E+01 4.055910E+01 3.801601E+01 0.000000E+00 0.000000E+00 4.058816E-02 1.016288E-02 4.058784E-02 3.230464E-02 4.058816E-02 3.804192E-02 4.058848E-02 4.047392E-02
9 9.877710E+01 2.345197E+01 6.260130E+01 4.911177E+01 3.902413E+01 3.382900E+01 0.000000E+00 0.000000E+00 4.076416E-02 9.678080E-03 4.076416E-02 3.197952E-02 4.076384E-02 3.533632E-02 4.076352E-02 4.065056E-02
10 9.044355E+01 2.542495E+01 6.039949E+01 4.944724E+01 4.067504E+01 3.534179E+01 0.000000E+00 0.000000E+00 4.275328E-02 1.201792E-02 4.275264E-02 3.499936E-02 4.275392E-02 3.714720E-02 4.275392E-02 4.255904E-02
11 9.222795E+01 2.450912E+01 6.242834E+01 4.889408E+01 4.228987E+01 3.533585E+01 0.000000E+00 0.000000E+00 4.027072E-02 1.070144E-02 4.027072E-02 3.153952E-02 4.027072E-02 3.364768E-02 4.027072E-02 4.017920E-02
12 9.165277E+01 2.354722E+01 6.287305E+01 5.145278E+01 3.957461E+01 3.656174E+01 0.000000E+00 0.000000E+00 3.304000E-02 8.488320E-03 3.304000E-02 2.703744E-02 3.304000E-02 3.052416E-02 3.304000E-02 3.297184E-02
13 8.991697E+01 2.516054E+01 6.014114E+01 4.663789E+01 4.085415E+01 3.613054E+01 0.000000E+00 0.000000E+00 4.968096E-02 1.390144E-02 4.968064E-02 3.852512E-02 4.968096E-02 4.393536E-02 4.968128E-02 4.954464E-02
14 9.239904E+01 2.471848E+01 6.390453E+01 5.014281E+01 3.971652E+01 3.448356E+01 0.000000E+00 0.000000E+00 4.106240E-02 1.098432E-02 4.106272E-02 3.221952E-02 4.106304E-02 3.565184E-02 4.106272E-02 4.097120E-02
15 9.210398E+01 2.535090E+01 6.123919E+01 4.960577E+01 3.964988E+01 3.401154E+01 0.000000E+00 0.000000E+00 4.283872E-02 1.179072E-02 4.283776E-02 3.469920E-02 4.283840E-02 3.674592E-02 4.283808E-02 4.274784E-02
16 9.133129E+01 2.488011E+01 6.152108E+01 4.797445E+01 3.796955E+01 3.542580E+01 0.000000E+00 0.000000E+00 4.143872E-02 1.128800E-02 4.143872E-02 3.231328E-02 4.143872E-02 3.866208E-02 4.143872E-02 4.134752E-02
