Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.818485E+00 2.380197E+00 0.000000E+00 0.000000E+00 6.049952E-02 6.040512E-02 6.049952E-02 6.048032E-02 6.049920E-02 7.918592E-02 6.049952E-02 6.046912E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.401491E+00 1.801802E+00 0.000000E+00 0.000000E+00 3.996064E-02 3.989888E-02 3.996032E-02 3.994912E-02 3.996000E-02 5.137344E-02 3.996096E-02 3.994432E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.824506E+00 2.345545E+00 0.000000E+00 0.000000E+00 4.220768E-02 4.214816E-02 4.220768E-02 4.219008E-02 4.220768E-02 5.426048E-02 4.220768E-02 4.218976E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.236571E+00 2.795409E+00 0.000000E+00 0.000000E+00 4.113888E-02 4.108480E-02 4.113888E-02 4.112960E-02 4.113888E-02 5.141760E-02 4.113888E-02 4.112192E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.842895E+00 2.273598E+00 0.000000E+00 0.000000E+00 4.178368E-02 4.171744E-02 4.178368E-02 4.176928E-02 4.178400E-02 5.154880E-02 4.178336E-02 4.174976E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.926497E+00 2.420317E+00 0.000000E+00 0.000000E+00 4.049152E-02 4.043776E-02 4.049120E-02 4.047968E-02 4.049056E-02 5.086912E-02 4.049088E-02 4.047488E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.837806E+00 2.379472E+00 0.000000E+00 0.000000E+00 4.244640E-02 4.238976E-02 4.244608E-02 4.243680E-02 4.244640E-02 5.495616E-02 4.244608E-02 4.242944E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.621070E+00 1.949690E+00 0.000000E+00 0.000000E+00 4.257120E-02 4.251296E-02 4.257120E-02 4.256352E-02 4.257088E-02 5.119936E-02 4.257120E-02 4.255392E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.632130E+00 1.991975E+00 0.000000E+00 0.000000E+00 4.166720E-02 4.161888E-02 4.166720E-02 4.165248E-02 4.166720E-02 5.085312E-02 4.166720E-02 4.165280E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.925312E+00 2.485574E+00 0.000000E+00 0.000000E+00 4.103680E-02 4.099040E-02 4.103680E-02 4.102944E-02 4.103680E-02 5.297792E-02 4.103680E-02 4.101952E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.729278E+00 2.240405E+00 0.000000E+00 0.000000E+00 4.106336E-02 4.100896E-02 4.106272E-02 4.105440E-02 4.106400E-02 5.319872E-02 4.106368E-02 4.104960E-02
