Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.593035E+00 2.046065E+00 0.000000E+00 0.000000E+00 7.282368E-02 7.270464E-02 7.282432E-02 7.280288E-02 7.282272E-02 9.352768E-02 7.282368E-02 7.276992E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.708356E+00 2.125876E+00 0.000000E+00 0.000000E+00 2.634240E-02 2.630176E-02 2.634240E-02 2.633536E-02 2.634208E-02 3.277824E-02 2.634208E-02 2.632864E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.680983E+00 2.229299E+00 0.000000E+00 0.000000E+00 5.652000E-02 5.644384E-02 5.652000E-02 5.649824E-02 5.652000E-02 7.495488E-02 5.652000E-02 5.649248E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.834096E+00 2.357869E+00 0.000000E+00 0.000000E+00 2.671936E-02 2.668416E-02 2.671936E-02 2.670944E-02 2.671904E-02 3.434880E-02 2.671936E-02 2.670528E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.656331E+00 2.058412E+00 0.000000E+00 0.000000E+00 4.226624E-02 4.219968E-02 4.226592E-02 4.224896E-02 4.226560E-02 5.252288E-02 4.226560E-02 4.224928E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.725096E+00 2.220870E+00 0.000000E+00 0.000000E+00 4.232576E-02 4.226880E-02 4.232576E-02 4.231328E-02 4.232576E-02 5.448896E-02 4.232576E-02 4.230848E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.065154E+00 2.698456E+00 0.000000E+00 0.000000E+00 4.261664E-02 4.256032E-02 4.261632E-02 4.260480E-02 4.261696E-02 5.568320E-02 4.261632E-02 4.259936E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.581800E+00 1.935745E+00 0.000000E+00 0.000000E+00 4.236096E-02 4.230240E-02 4.236096E-02 4.234080E-02 4.236096E-02 5.183936E-02 4.236096E-02 4.232352E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.687532E+00 2.281594E+00 0.000000E+00 0.000000E+00 4.207584E-02 4.203104E-02 4.207648E-02 4.206464E-02 4.207584E-02 5.688768E-02 4.207648E-02 4.206272E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.993314E+00 2.485537E+00 0.000000E+00 0.000000E+00 4.264608E-02 4.259808E-02 4.264576E-02 4.263520E-02 4.264672E-02 5.317504E-02 4.264640E-02 4.263008E-02
