Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.694921E+00 2.305633E+00 0.000000E+00 0.000000E+00 5.074528E-02 5.064672E-02 5.074528E-02 5.072800E-02 5.074528E-02 6.902656E-02 5.074528E-02 5.072128E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.610815E+00 2.051733E+00 0.000000E+00 0.000000E+00 5.215104E-02 5.205824E-02 5.215136E-02 5.213728E-02 5.215104E-02 6.642560E-02 5.215104E-02 5.212416E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.573276E+00 1.972727E+00 0.000000E+00 0.000000E+00 4.004608E-02 3.997440E-02 4.004608E-02 4.003392E-02 4.004608E-02 5.021312E-02 4.004608E-02 4.000864E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.637068E+00 2.034460E+00 0.000000E+00 0.000000E+00 4.276320E-02 4.268896E-02 4.276320E-02 4.275360E-02 4.276320E-02 5.314112E-02 4.276320E-02 4.274592E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.616075E+00 2.104580E+00 0.000000E+00 0.000000E+00 2.660864E-02 2.655840E-02 2.660800E-02 2.660096E-02 2.660864E-02 3.465088E-02 2.660832E-02 2.659840E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.559726E+00 1.967237E+00 0.000000E+00 0.000000E+00 5.642432E-02 5.633600E-02 5.642432E-02 5.640992E-02 5.642432E-02 7.116544E-02 5.642432E-02 5.640032E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.523958E+00 1.913515E+00 0.000000E+00 0.000000E+00 5.644128E-02 5.635904E-02 5.644096E-02 5.642176E-02 5.644064E-02 7.086720E-02 5.643968E-02 5.642112E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.845526E+00 2.460530E+00 0.000000E+00 0.000000E+00 5.527296E-02 5.519168E-02 5.527296E-02 5.525728E-02 5.527264E-02 7.369024E-02 5.527296E-02 5.525312E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.503127E+00 1.939353E+00 0.000000E+00 0.000000E+00 4.125120E-02 4.119744E-02 4.125088E-02 4.124160E-02 4.125088E-02 5.322048E-02 4.125024E-02 4.123424E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.189142E+00 2.835482E+00 0.000000E+00 0.000000E+00 4.020480E-02 4.015904E-02 4.020512E-02 4.019552E-02 4.020480E-02 5.207296E-02 4.020512E-02 4.019136E-02
