Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.809792E+00 2.321051E+00 0.000000E+00 0.000000E+00 5.083936E-02 5.074016E-02 5.083904E-02 5.082464E-02 5.083904E-02 6.520000E-02 5.083904E-02 5.081504E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.799975E+00 2.399765E+00 0.000000E+00 0.000000E+00 5.333856E-02 5.324512E-02 5.333856E-02 5.332224E-02 5.333856E-02 7.111040E-02 5.333856E-02 5.331136E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.841221E+00 2.430933E+00 0.000000E+00 0.000000E+00 4.237056E-02 4.230560E-02 4.237056E-02 4.235552E-02 4.237056E-02 5.593984E-02 4.237056E-02 4.232896E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.723715E+00 2.148545E+00 0.000000E+00 0.000000E+00 4.235424E-02 4.227712E-02 4.235424E-02 4.234240E-02 4.235424E-02 5.279040E-02 4.235392E-02 4.233376E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.469428E+00 1.793014E+00 0.000000E+00 0.000000E+00 4.015584E-02 4.008352E-02 4.015584E-02 4.014368E-02 4.015584E-02 4.899840E-02 4.015584E-02 4.013856E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.428298E+00 2.036929E+00 0.000000E+00 0.000000E+00 4.271168E-02 4.264576E-02 4.271168E-02 4.270240E-02 4.271136E-02 6.091072E-02 4.271168E-02 4.267072E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.862224E+00 2.474883E+00 0.000000E+00 0.000000E+00 4.242656E-02 4.236928E-02 4.242624E-02 4.241184E-02 4.242624E-02 5.638336E-02 4.242656E-02 4.240928E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.481466E+00 1.716452E+00 0.000000E+00 0.000000E+00 4.252960E-02 4.247296E-02 4.252960E-02 4.252192E-02 4.252960E-02 4.927360E-02 4.252960E-02 4.251232E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.783888E+00 2.279159E+00 0.000000E+00 0.000000E+00 4.036448E-02 4.030240E-02 4.036512E-02 4.035648E-02 4.036576E-02 5.157184E-02 4.036576E-02 4.035200E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.759977E+00 2.230585E+00 0.000000E+00 0.000000E+00 4.034816E-02 4.028448E-02 4.034816E-02 4.033824E-02 4.034816E-02 5.113536E-02 4.034816E-02 4.031392E-02
