discharge_no,discharge_E,start_frame,finish_frame,A_f,t_0_f,tau_f,C_f,A,t_0,tau,C,fit_success,fit_message
1,6660.0,100,112,2465639.464395012,101.0,22418.9996436257,-2464429.6552434997,2465639.464395012,5.050000000000001,1120.949982181285,-2464429.6552434997,True,ok
2,6660.0,146,158,436.4173849790872,147.0,0.6334741932053047,1064.7826150209128,436.4173849790872,7.3500000000000005,0.03167370966026524,1064.7826150209128,True,ok
3,6660.0,194,205,2.2086135199845156e-11,195.0,-0.07137858559481855,108.12498910744107,2.2086135199845156e-11,9.75,-0.0035689292797409277,108.12498910744107,True,ok
